arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
Dia 15:;;N/A: ;;;Albury;cap.;;;;;Dia 15: De Nassau en 5 dias pail. ing. Star, cap. Albury, tons.;ing.;Star;;;pail.;1871_02_16;Nassau;;
Día 25:;;N/A: ;;;;cap.;;;;;111, con sal, & Ruthven, Whitman y cp. - St. John (N. B.) en 25 dias berg. ing. Otonoco, cap.;ing.;Otonoco;;;berg.;1871_02_16;St. John (N. B.);;
;;;;;Latirtegni;cap.;;;;;-Pto. Rico vap. esp. Triunfo, cap. Latirtegni.;esp.;Triunfo;;;vap.;1871_02_16;Pto. Rico;;
;;;;;Se il;cap.;;;;;Cárdenas gol. am Maggie Cam, cap. Se il;am;Maggie Cam;;;gol.;1871_02_16;Cárdenas;;
Día 1:;;;;;;cap.;;;;;Cayo Hueso en un dia vap. am, Tappahannock, cap.;am;Tappahannock;;;vap.;1871_02_17;Cayo Hueso;;
Día 1:;;;;;Bocker;cap.;;;;;-Cayo Hueso en un dia gol. hond. Indio, cap. Bocker,;hond.;Indio;;;gol.;1871_02_17;Cayo Hueso;;
Día 16:;;N/A: ;;;Rainding;cap.;;;;;-Sisal en 16 dias berg. ing. British Quoon, cap. Rainding, tons. 113, con ral, a S. Villaverde.;ing.;British Quoon;;;berg.;1871_02_17;Sisal;;
;;N/A: ;;;Pyforin;cap.;;;;;Pose, cap. Pyforin. tons. 23, con pescado vivo. A V.;;;;;;1871_02_17;;;
;;N/A: ;;;Marweck;cap.;;;;;cap. Marweck. tons. 501 con efectos, á B. Moll y;;;;;;1871_02_17;;;
Día 15:;;N/A: ;;;;cap.;;;;;ton. 12, en bacalao, á Ruthven W. y comp. - New York en 15 dias gol. amer. Ella Amsilon, cap.;amer.;Ella Amsilon;;;gol.;1871_02_18;New York;;
Dia 17:;;;;;Tiragalo;cap.;;;;;Dia 17: Para Barcelona berg. cap. Los Emilios, cp. Tiragalo;;Los Emilios;;;berg.;1871_02_18;Barcelona;;
;;;;;Agnew;cap.;;;;;New Orleans vap. ing. Lord Lowell, cap. Agnew.;ing.;Lord Lowell;;;vap.;1871_02_18;New Orleans;;
;;;;;Penny;cap.;;;;;-Caibarien gol. ing, Astra, cap. Penny.;ing;Astra;;;gol.;1871_02_18;Caibarien;;
Día 18:;;N/A:  | N/A: ;;;Jaureguizar;cap.;;;;;Dia 18. De Cádiz y escalas en 18 dias vap. cor. esp. Antonio Lopez, cap. Jaureguizar, ton. 510, con frutos & Samá ,;esp.;Antonio Lopez;;;vap.;1871_02_19;Cádiz;;
Día 18:;;;;;Keina;cap.;;;;;Dia 18. Para Cara las boa. esp. Ana, cap. Keina. -New-Orleans y escalas vap. fam. Tappahannock,;esp.;Tappahannock;;;vap.;1871_02_19;New Orleans;;
;;;;;Orts;cap.;;;;;-Genova, via Cárdenas pol. esp. Beatriz, cap. Orts.;esp.;Beatriz;;;pol.;1871_02_19;Cárdenas;;
;;;;;Coan;cap.;;;;;Boston gol. am. Addie M. Chadwick, cap.  Coan.;am.;Addie M. Chadwick;;;gol.;1871_02_19;Boston;;
;;;;;Adams;cap.;;;;;-New York vap. amor. Morro Castle, cap. Adams.;;Morro Castle;;;vap.;1871_02_19;New York;;
Día 19:;;;;;;cap.;;;;;Dia 19. Do Veracruz en 3 dias vap. francés Guadeloupe, cap.;francés;Guadeloupe;;;vap.;1871_02_21;Veracruz;;
Día 15:;;;;;;cap.;;;;;Mr. Poland. - New York on 15 dias berg. ing. M. A. Herrera, cap.;ing.;M. A. Herrera;;;berg.;1871_02_21;New York;;
;;N/A: ;;;Milohrust;cap.;;;;;ing. Atlantic, cap. Milohrust, tons. 473, on lastre, á;ing.;Atlantic;;;;1871_02_21;;;
Día 3:;;N/A:  | N/A:  | N/A: ;;;Deaken;cap.;;;;;la órden. - Veracruz y Sisal en 3 dias vap. amor. City of Merida. cap. Deaken, tons. 1970, con efectos, & Zaldo y cp.;;City of Merida;;;vap.;1871_02_21;Veracruz y Sisal;;
Día 12:;;N/A: ;;;Mo Cormick;cap.;;;;;Satilla (Georgia) on 12 dias gol. amer. Robert Caldwell, cap. Mo Cormick, tons. 349, oon maderas, &;amer.;Robert Caldwell;;;gol.;1871_02_21;Satilla (Georgia);;
Día 20:;;N/A:  | N/A:  | N/A: ;;;Puning;cap.;;;;;Dia 20. Do New York en 6 dias vap. amer. Havana, cap. Puning, tons. 500, con efectos, á Zaldo y cp.-Pasajeros 1. - N. Orleans en 8 dias goleta americana F. R. Bairs,;amer.;Havana;;;vap.;1871_02_21;New York;;
Día 20:;;;;;Bennis;cap.;;;;;Dia 20. Para New York berg. amer. Havana, cap. Bennis.;amer.;Havana;;;berg.;1871_02_21;New York;;
;;;;;Sitchee;cap.;;;;;-St. Thomas y escalas vap. esp. Pelayo, cap. Sitchee. - Sagua gol. amer. Henry Adalbert, cap, Fiske.;esp.;Pelayo;;;vap.;1871_02_21;St. Thomas;;
Día 20:;;;;;Brown;cap.;;;;;Dia 20 De Pauzacola en 20 dias gol. amer. Beta, cap. Brown, ts.;amer.;Beta;;;gol.;1871_02_22;Pauzacola;;
Día 17:;;N/A: ;;;;cap.;;;;;Keso, ton. 267, con cortes do caja, á Zaldo y comp - Baltimoro en 17 dias berg. amer. Addio Hale, cap.;amer.;Addio Hale;;;berg.;1871_02_22;Baltimoro;;
;;N/A: ;;;Bossie;cap.;;;;;cap. Bossie, tons. 390 en lastre. & Ducatel.-Pags. 159;;;;;;1871_02_22;;;
