arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 7:;;N/A: ;Capp.;cp.;;De Kings Port en 7 dias goleta inglesa St.Maurice. cp. Capp. trp. 7. tns. 300. con papas á orden.;inglesa;St.Maurice;goleta;1903_01_01;Kings Port
Día 4:;;N/A:  | N/A: ;Downs;cap.;;De New York en 3½ dias vap. am. Morro Castle cap. Downs trp. 73 tns 6004 con carga general y 73 pasajeros á Zaldo & Comp.;am.;Morro Castle;vap.;1903_01_01;New York
Día 53:;;N/A: ;Más;cap.;;De Concordia (R. A.) en 53 dias basca española Sebastian. cap. Más. trp. 14. tons. 653 con tasajo á Barraqué & Comp.;española;Sebastian;basca;1903_01_01;Concordia (R. A.)
Día 3:;;N/A:  | N/A: ;Oliver;cap.;;De Veracruz en 3 dias vap. esp. Manuel Calvo. cap. Oliver, trp. 123, tns. 5600 con carga nearal y 16 pasajeros á M. Calvo.;esp.;Manuel Calvo;vap.;1903_01_01;Veracruz
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_04;Cayo Hueso
Día 2:;;N/A: ;Roberts;cap.;;De Cayo Hueso en 2 días, goleta americana Doctor Lykes, capitán Roberts, tripulantes 5, toneladas 89, con madera a la orden;americana;Doctor Lykes;goleta;1903_01_04;Cayo Hueso
Día 9:;;;;;;De Cárdenas en 9 horas, vapor italiano Glu-;italiano;Glu-;vapor;1903_01_04;Cárdenas
Día 5:;;N/A: ;Pettersen;cap.;;De Tampico en 5 días, vapor noruego Ellida, capitán Pettersen, tripulantes 20, toneladas 1124, con ganado á L. V. Placé.;noruego;Ellida;vapor;1903_01_06;Tampico
Día 3:;;N/A:  | N/A: ;Pedersen;cap.;;De Mobila en 3 días, vapor noruego Uiv, capitán Pedersen, tripulantes 21, toneladas 1405, con carga general y 1 pasajero á L. V. Placé.;noruego;Uiv;vapor;1903_01_06;Mobila
Día 7:;;N/A:  | N/A:  | N/A: ;Dillon;cap.;;De Cayo Hueso en 7 horas, vapor americano Martinique, capitán Dillon, tripulantes 43, toneladas 996, en lastre á G. Lawton Childs y cp.;americano;Martinique;vapor;1903_01_06;Cayo Hueso
Día 4:;;N/A:  | N/A: ;Hopper;cap.;;De New Orleans en 4 días, vapor americano Excelsior, capitán Hopper, tripulantes 49, toneladas 3542, con carga general y pasajeros á Galbán y cp.;americano;Excelsior;vapor;1903_01_06;New Orleans
Día 36:;;N/A:  | N/A: ;Bilbao;cap.;;De Barcelona y escalas en 36 días, vapor español Martin Saenz, capitán Bilbao, tripulantes 54, toneladas 3465, con carga general y 29 pasajeros á Marcos, Herma- nes y cp.;español;Martin Saenz;vapor;1903_01_06;Barcelona
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_07;Cayo Hueso
Día 7:;;;;;;De Filadelfia en 7 días, vapor noruego Otta,;noruego;Otta;vapor;1903_01_07;Filadelfia
Día 8½:;;;;;;De New York en 8½ días, vapor americano;americano;;vapor;1903_01_08;New York
Día 28:;;;;;;De Newport Nens en 28 días, vapor inglés;inglés;;vapor;1903_01_08;Newport
Día :;;;;;;De Veracruz y escalas en 3½ días, vapor ame-;;;vapor;1903_01_08;Veracruz
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_09;Cayo Hueso
;;;;;;De Pasacagoula golata americana M. A. Achor;americana;M. A. Achor;golata;1903_01_09;Pasacagoula
Día 21:;;;;;;De Liverpool y escalas, en 21 días, vap. espa.;espa.;;vap.;1903_01_10;Liverpool
;;;Browne;cap.;;Comino, cap. Browne, trip. 32, tons. 2757,;;;;1903_01_10;Comino
Día 7½:;;;;;;De Filadelfia, en 7½ días, vap. ing. King Fre-;ing.;King Fre-;vap.;1903_01_10;Filadelfia
;;;Davies;cap.;;derick, cap. Davies, trip. 26, tons. 2576, con;;;derick;1903_01_10;
Día 6:;;;;;;De Santiago de Cuba, en 6 días, vap. yatch in-;;yatch in-;vap.;1903_01_10;Santiago de Cuba
Día 7:;;N/A:  | N/A: ;Allen;cap.;;De Cayo Hueso, en 7 horas, vap. am. Olivette, cap. Allen, trip 58, tons. 1604, con carga general y 39 pasajeros á G. Lawton Childs y Comp;am.;Olivette;vap.;1903_01_11;Cayo Hueso
Día 16:;;N/A:  | N/A: ;Briege;cap.;;— Bremen y escalias, en 16 días, vap. almán Mainz cap Briege, trip 54, tons. 3204, con carga general y 107 pasajeros á S. y Tillmann.;almán;Mainz;vap.;1903_01_11;Bremen
Día 3½:;;N/A:  | N/A: ;Niller;cap.;;— Tampico, en 3½ días, vap. am. Matanzas, cap. Niller, trip 42, ton. 3094, con carga general y 3 pasajeros á Zaldo y Cp.;am.;Matanzas;vap.;1903_01_11;Tampico
Día 5:;;;;cap.;;De Tampico en 5 días vapor nórruego Nord;;Nord;vapor;1903_01_13;Tampico
Día 23:;;;;;;De New Port New en 23 días vapor holandés;holandés;;vapor;1903_01_13;New Port New
Día 41:;;;;;;De Londres y escalas en 41 días vapor inglés;ing.;;vapor;1903_01_13;Londres
Día 4:;;;;;;De New York en 4 días vapor americano Mon-;americano;Mon-;vapor;1903_01_13;New York
Día 2:;;;;;;De New Orleans en 2 días vapor americano;americano;;vapor;1903_01_13;New Orleans
Día 4:;;;;;;De Veracruz y escalas en 4 días vapor ameri-;;ameri-;vapor;1903_01_13;Veracruz
Día 3:;;;;;;De Mobila, en 3 días, vap. italiano Giuseppe;italiano;Giuseppe;vap.;1903_01_14;Mobila
Día 7:;;;;;;De Cayo Hueso en 7 horas, vapor americano;americano;;vapor;1903_01_14;Cayo Hueso
Día 39:;;N/A: ;Thomson;cp.;;De Liverpool en-días vp. inglés Miguel Larrinaga, cp. Thomson, tp. 39, tds. 4088 con carga general á Marcos, Hnos. y C:;inglés;Miguel Larrinaga;vp.;1903_01_15;Liverpool
Día 8 ½:;;N/A:  | N/A: ;Downs;cp.;;De New York en 8 ½ días, vp. americano, Morro Castle, cp. Downs, tp. 128, tds. 6004 con carga general, y 122 pasajeros á Zaldo y C:;americano;Morro Castle;vp.;1903_01_15;New York
Día 71:;;N/A: ;Olsen;cp.;;De Liverpool en 71 días barca noruega Lily, cp. Olsen, tp. 13, tds. 456, con carbón á la orden.;noruega;Lily;barca;1903_01_15;Liverpool
Día 7:;;N/A:  | N/A:  | N/A: ;Horvat;cp.;;De Filadelfia en 7 días, vp. inglés Veineira, cp. Horvat, tp. 24, tds. 2710, con carbón á Luis V. Clace.;ing.;Veineira;vp.;1903_01_15;Filadelfia
Día 2:;;N/A: ;Gould;cp.;;De Port Tampa en 2 días, gta. inglés Shathco- na, cp. Gould, tp. 7, tds. 283 con madera á A. J. Mendoza.;inglés;Shathco- na;gta.;1903_01_15;Port Tampa
Día 76:;;N/A:  | N/A: ;Garziano;cap.;;De Marsella, en 76 días, bca. italiana Inocen'a, cap. Garziano, trip. 11. ton. 769, con tejas & Dussaard Gohier.;italiana;Inocen'a;bca.;1903_01_16;Marsella
Día 7:;;N/A:  | N/A: ;Turner;cap.;;De Cayo Hueso, en 7 horas, vapor americano Mascotte, capitán Turner, tripulantes 42, toneladas 884, con carga general y 21 pasajeros & G. Lawton Childs, C:;americano;Mascotte;vapor;1903_01_16;Cayo Hueso
